2020-05-24 11:26:42.249[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springboot.vhrend.perTest.EmployeeremoveTest], using SpringBootContextLoader
2020-05-24 11:26:42.265[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.springboot.vhrend.perTest.EmployeeremoveTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-05-24 11:26:42.268[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.springboot.vhrend.perTest.EmployeeremoveTest]: EmployeeremoveTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-05-24 11:26:42.581[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.springboot.vhrend.VhrEndApplication for test class com.springboot.vhrend.perTest.EmployeeremoveTest
2020-05-24 11:26:42.826[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2020-05-24 11:26:42.920[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56113384, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5669c5fb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@373ebf74, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5f9678e1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@c4ed84, org.springframework.test.context.transaction.TransactionalTestExecutionListener@189aa67a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5a9d6f02, org.springframework.test.context.event.EventPublishingTestExecutionListener@362045c0, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@112f364d, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@5ccbeb64, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6d9f7a80, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@59252cb6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@31d0e481, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3243b914, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@241e8ea6]
2020-05-24 11:26:43.860[main][main] INFO  c.s.v.perTest.EmployeeremoveTest - Starting EmployeeremoveTest on SKY-20200115AVJ with PID 13136 (started by Administrator in D:\study\微人事实练\vhr-end)
2020-05-24 11:26:43.863[main][main] INFO  c.s.v.perTest.EmployeeremoveTest - No active profile set, falling back to default profiles: default
2020-05-24 11:26:46.978[main][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-05-24 11:26:47.354[main][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 345ms. Found 1 JPA repository interfaces.
2020-05-24 11:26:47.654[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-05-24 11:26:47.689[main][main] WARN  o.m.s.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'employeeremoveRepository' and 'com.springboot.vhrend.repository.EmployeeremoveRepository' mapperInterface. Bean already defined with the same name!
2020-05-24 11:26:48.674[main][main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-05-24 11:26:49.417[main][main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-05-24 11:26:50.439[main][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-05-24 11:26:50.859[main][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.12.Final
2020-05-24 11:26:51.854[main][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-05-24 11:26:52.915[main][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
